date,city,pm25,day_of_week,month,aqi,regime,pm25_lag1,pm25_lag7,pm25_ma7,pm25_std7
2020-01-08,Los_Angeles,27.86106282253403,2,1,83.82202322432195,moderate,22.40394547580217,24.335310456351067,25.142750950794728,4.7265989602163145
2020-01-09,Los_Angeles,25.10716784729886,3,1,77.91237735471859,moderate,27.86106282253403,32.011961520053354,24.156351854686942,3.6525962560698253
2020-01-10,Los_Angeles,29.561525305444807,4,1,87.4710843464481,moderate,25.10716784729886,26.19661298522277,24.637053614718663,4.153000355896345
2020-01-11,Los_Angeles,17.498986591451505,5,1,61.58580813616203,moderate,29.561525305444807,19.40192163565156,24.36520575126151,4.591886992308473
2020-01-12,Los_Angeles,16.509224100949407,6,1,59.46185429388285,moderate,17.498986591451505,19.84501884156688,23.88866364545901,5.263194027743318
2020-01-13,Los_Angeles,26.474069834704732,0,1,80.84564342211316,moderate,16.509224100949407,28.27873337473232,23.63085456831222,5.05228698273912
2020-01-14,Los_Angeles,22.835345454495936,1,1,73.03722200535609,moderate,26.474069834704732,22.40394547580217,23.69248313669704,5.037435935101701
2020-01-15,Los_Angeles,24.56350092548988,2,1,76.74571014053622,moderate,22.835345454495936,27.86106282253403,23.221402865690738,4.727274828775117
2020-01-16,Los_Angeles,23.153574759355607,3,1,73.72011750934679,moderate,24.56350092548988,25.10716784729886,22.942318138841696,4.654496695552441
2020-01-17,Los_Angeles,23.420297454895746,4,1,74.29248380878916,moderate,23.153574759355607,29.561525305444807,22.064999874477543,3.6745246016028776
2020-01-18,Los_Angeles,20.37397617773157,5,1,67.75531368611925,moderate,23.420297454895746,17.498986591451505,22.475712672517552,3.2104795880464625
2020-01-19,Los_Angeles,14.480862904475636,6,1,55.10914786368162,moderate,20.37397617773157,16.509224100949407,22.185946787307017,3.8638055975264765
2020-01-20,Los_Angeles,19.326528069799082,0,1,65.50757096523408,moderate,14.480862904475636,26.474069834704732,21.164869392320494,3.4656419554296547
2020-01-21,Los_Angeles,28.709723961369367,1,1,85.64318446645787,moderate,19.326528069799082,22.835345454495936,22.00406632187384,4.495713231646339
2020-01-22,Los_Angeles,23.884183491250866,2,1,75.28794740611774,moderate,28.709723961369367,24.56350092548988,21.90702097412541,4.43822102594725
2020-01-23,Los_Angeles,29.250299825843044,3,1,86.80321851039278,moderate,23.884183491250866,23.153574759355607,22.77798169790933,5.247962701991345
2020-01-24,Los_Angeles,32.295863429714245,4,1,93.33876272470867,moderate,29.250299825843044,23.420297454895746,24.045919694311976,6.379269954559268
2020-01-25,Los_Angeles,24.177795124277598,5,1,75.91801528814935,moderate,32.295863429714245,20.37397617773157,24.589322400961407,6.173029069370643
2020-01-26,Los_Angeles,19.1956934343206,6,1,65.22680994489399,moderate,24.177795124277598,14.480862904475636,25.262869619510685,5.03938399668311
2020-01-27,Los_Angeles,25.71192576506029,0,1,79.21014112673882,moderate,19.1956934343206,19.326528069799082,26.175069290262286,4.311014751926031
2020-01-28,Los_Angeles,30.901040590140138,1,1,90.34558066553677,moderate,25.71192576506029,28.709723961369367,26.488114522943825,4.595893789560323
2020-01-29,Los_Angeles,26.37660085962404,2,1,80.63648253138206,moderate,30.901040590140138,23.884183491250866,26.844174146997137,4.4549217658233795
2020-01-30,Los_Angeles,24.4851896591274,3,1,76.57766021271974,moderate,26.37660085962404,29.250299825843044,26.163444123180614,4.389563021379485
2020-01-31,Los_Angeles,25.1738633690541,4,1,78.05550079196159,moderate,24.4851896591274,32.295863429714245,25.146015543086314,3.457748743055596
2020-02-01,Los_Angeles,15.176536057074733,5,2,56.60200870616895,moderate,25.1738633690541,24.177795124277598,23.860121390628755,5.1415717808200645
2020-02-02,Los_Angeles,18.79739102824599,6,2,64.37208375160084,moderate,15.176536057074733,19.1956934343206,23.80322104690381,5.203624526595899
