timestamp,pm25,pm10,no2,o3,co,regime
2023-01-01T00:00,18.7,26.7,64.2,0.0,701.0,moderate
2023-01-01T01:00,19.6,28.0,62.6,0.0,688.0,moderate
2023-01-01T02:00,14.0,20.0,60.2,0.0,668.0,moderate
2023-01-01T03:00,11.7,16.6,56.7,0.0,618.0,good
2023-01-01T04:00,11.7,16.8,54.5,0.0,549.0,good
2023-01-01T05:00,10.0,14.3,52.4,0.0,461.0,good
2023-01-01T06:00,9.2,13.1,46.9,3.0,356.0,good
2023-01-01T07:00,7.9,11.3,38.0,12.0,301.0,good
2023-01-01T08:00,7.0,10.0,26.5,24.0,256.0,good
2023-01-01T09:00,5.8,8.2,16.8,35.0,217.0,good
2023-01-01T10:00,5.0,7.1,18.5,35.0,207.0,good
2023-01-01T11:00,4.8,6.9,25.0,31.0,212.0,good
2023-01-01T12:00,7.1,10.1,38.0,23.0,236.0,good
2023-01-01T13:00,10.3,14.8,35.5,23.0,252.0,good
2023-01-01T14:00,11.6,16.6,32.0,23.0,275.0,good
2023-01-01T15:00,10.5,15.0,27.0,25.0,288.0,good
2023-01-01T16:00,8.2,11.7,21.8,31.0,265.0,good
2023-01-01T17:00,8.8,12.7,16.1,40.0,227.0,good
2023-01-01T18:00,9.1,13.0,14.0,45.0,200.0,good
2023-01-01T19:00,9.2,13.2,20.9,38.0,208.0,good
2023-01-01T20:00,9.7,13.9,32.3,25.0,234.0,good
2023-01-01T21:00,13.2,18.9,45.4,10.0,316.0,moderate
2023-01-01T22:00,20.8,29.7,50.3,5.0,458.0,moderate
2023-01-01T23:00,24.9,35.6,53.2,2.0,643.0,moderate
2023-01-02T00:00,41.2,58.8,48.0,0.0,1424.0,unhealthy_sensitive
2023-01-02T01:00,36.2,51.7,48.5,0.0,1280.0,unhealthy_sensitive
2023-01-02T02:00,29.1,41.7,49.2,0.0,1073.0,moderate
2023-01-02T03:00,24.8,35.5,49.5,1.0,807.0,moderate
2023-01-02T04:00,21.0,30.0,49.2,2.0,642.0,moderate
2023-01-02T05:00,17.8,25.4,48.3,2.0,488.0,moderate
2023-01-02T06:00,15.6,22.3,45.2,5.0,334.0,moderate
2023-01-02T07:00,14.4,20.7,39.2,11.0,273.0,moderate
