timestamp,trip_count,regime
2023-01-01T00:00:00,5336,weekend
2023-01-01T01:00:00,5752,weekend
2023-01-01T02:00:00,5097,weekend
2023-01-01T03:00:00,3952,weekend
2023-01-01T04:00:00,2501,weekend
2023-01-01T05:00:00,1097,weekend
2023-01-01T06:00:00,908,weekend
2023-01-01T07:00:00,1021,weekend
2023-01-01T08:00:00,1147,weekend
2023-01-01T09:00:00,1650,weekend
2023-01-01T10:00:00,2698,weekend
2023-01-01T11:00:00,3354,weekend
2023-01-01T12:00:00,3828,weekend
2023-01-01T13:00:00,3998,weekend
2023-01-01T14:00:00,4252,weekend
2023-01-01T15:00:00,4326,weekend
2023-01-01T16:00:00,4253,weekend
2023-01-01T17:00:00,4099,weekend
2023-01-01T18:00:00,3720,weekend
2023-01-01T19:00:00,3442,weekend
2023-01-01T20:00:00,2901,weekend
2023-01-01T21:00:00,2778,weekend
2023-01-01T22:00:00,2607,weekend
2023-01-01T23:00:00,2035,weekend
2023-01-02T00:00:00,1280,night
2023-01-02T01:00:00,755,night
2023-01-02T02:00:00,433,night
2023-01-02T03:00:00,379,night
2023-01-02T04:00:00,371,night
2023-01-02T05:00:00,394,night
2023-01-02T06:00:00,799,transition
2023-01-02T07:00:00,1176,morning_rush
2023-01-02T08:00:00,1540,morning_rush
2023-01-02T09:00:00,2325,morning_rush
2023-01-02T10:00:00,3134,midday
2023-01-02T11:00:00,3671,midday
2023-01-02T12:00:00,4292,midday
2023-01-02T13:00:00,4816,midday
2023-01-02T14:00:00,5195,midday
2023-01-02T15:00:00,5286,midday
2023-01-02T16:00:00,5137,midday
2023-01-02T17:00:00,5075,evening_rush
2023-01-02T18:00:00,4348,evening_rush
2023-01-02T19:00:00,3915,evening_rush
2023-01-02T20:00:00,3607,transition
2023-01-02T21:00:00,3268,transition
2023-01-02T22:00:00,2763,transition
2023-01-02T23:00:00,1818,transition
2023-01-03T00:00:00,1322,night
2023-01-03T01:00:00,751,night
2023-01-03T02:00:00,392,night
2023-01-03T03:00:00,288,night
2023-01-03T04:00:00,255,night
2023-01-03T05:00:00,656,night
2023-01-03T06:00:00,1868,transition
2023-01-03T07:00:00,3342,morning_rush
2023-01-03T08:00:00,4431,morning_rush
2023-01-03T09:00:00,4545,morning_rush
2023-01-03T10:00:00,5332,midday
2023-01-03T11:00:00,5422,midday
2023-01-03T12:00:00,5145,midday
2023-01-03T13:00:00,5302,midday
2023-01-03T14:00:00,5628,midday
2023-01-03T15:00:00,5760,midday
2023-01-03T16:00:00,5677,midday
2023-01-03T17:00:00,6016,evening_rush
2023-01-03T18:00:00,5908,evening_rush
2023-01-03T19:00:00,5037,evening_rush
2023-01-03T20:00:00,3848,transition
2023-01-03T21:00:00,3673,transition
2023-01-03T22:00:00,2878,transition
2023-01-03T23:00:00,2307,transition
2023-01-04T00:00:00,1558,night
