date,article,views,day_of_week,month,regime,views_lag1,views_lag7,views_ma7,views_std7
2020-01-08,United_States,65648,2,1,normal,67627.0,70342.0,56457.57142857143,9132.577581696984
2020-01-09,United_States,56543,3,1,normal,65648.0,57350.0,56342.28571428572,9124.524402478663
2020-01-10,United_States,55939,4,1,normal,56543.0,59985.0,55764.28571428572,8982.35638560925
2020-01-11,United_States,42457,5,1,normal,55939.0,50661.0,54592.28571428572,10210.46519858075
2020-01-12,United_States,33855,6,1,normal,42457.0,41301.0,53528.57142857143,12048.36035673379
2020-01-13,United_States,47267,0,1,normal,33855.0,52631.0,52762.28571428572,12283.248819894055
2020-01-14,United_States,69352,1,1,normal,47267.0,67627.0,53008.71428571428,12643.199815372243
2020-01-15,United_States,79400,2,1,normal,69352.0,65648.0,54973.28571428572,15646.270276696252
2020-01-16,United_States,63248,3,1,normal,79400.0,56543.0,55931.142857142855,15960.467322195085
2020-01-17,United_States,62210,4,1,normal,63248.0,55939.0,56827.0,16136.01132043893
2020-01-18,United_States,31526,5,1,normal,62210.0,42457.0,55265.42857142857,18160.393404853534
2020-01-19,United_States,45815,6,1,normal,31526.0,33855.0,56974.0,16275.077910719814
2020-01-20,United_States,59725,0,1,normal,45815.0,47267.0,58753.71428571428,15707.956781137867
2020-01-21,United_States,61986,1,1,normal,59725.0,69352.0,57701.42857142857,15115.181726299143
2020-01-22,United_States,44667,2,1,normal,61986.0,79400.0,52739.57142857143,12230.702171954308
2020-01-23,United_States,77389,3,1,normal,44667.0,63248.0,54759.71428571428,15089.405065743822
2020-01-24,United_States,66589,4,1,normal,77389.0,62210.0,55385.28571428572,15533.977476425518
2020-01-25,United_States,40715,5,1,normal,66589.0,31526.0,56698.0,13427.062063856958
2020-01-26,United_States,40768,6,1,normal,40715.0,45815.0,55977.0,14220.890138571966
2020-01-27,United_States,63998,0,1,normal,40768.0,59725.0,56587.42857142857,14497.602524292799
2020-01-28,United_States,75272,1,1,normal,63998.0,61986.0,58485.42857142857,16102.974268305657
2020-01-29,United_States,49028,2,1,normal,75272.0,44667.0,59108.42857142857,15554.269326641932
2020-01-30,United_States,57075,3,1,normal,49028.0,77389.0,56206.42857142857,13307.993072550329
2020-01-31,United_States,51786,4,1,normal,57075.0,66589.0,54091.71428571428,12536.974391964035
2020-02-01,United_States,42517,5,2,normal,51786.0,40715.0,54349.142857142855,12231.298655887847
2020-02-02,United_States,36179,6,2,declining,42517.0,40768.0,53693.57142857143,13167.67654596086
2020-02-03,United_States,52741,0,2,normal,36179.0,63998.0,52085.42857142857,12362.237619152174
2020-02-04,United_States,51619,1,2,normal,52741.0,75272.0,48706.42857142857,7066.664556378879
2020-02-05,United_States,74389,2,2,normal,51619.0,49028.0,52329.42857142857,12022.441874222051
